Grant Name,Administering Body,Grant Purpose,Application Deadline,Deadline Type,Deadline Date,Deadline Status,Days Until Deadline,Deadline Notes,Expired,Funding Amount,Funding Min Amount,Funding Max Amount,Funding Currency,Funding Amount (AUD),Parsing Confidence,Parsing Notes,Co-contribution Requirements,Eligibility Criteria,Assessment Criteria,Application Complexity,Web Link,Level of Complexity
MRFF – CTA Initiative – 2025 Clinical Trials Activity Grant Opportunity,National Health and Medical Research Council (NHMRC) / Department of Health Disability and Ageing,Support clinical trials across 4 streams: Stream 1 (Incubator) pilot studies; Stream 2 rare cancers/diseases; Stream 3 health technology assessment; Stream 4 prevention trials,Minimum data due 4 March 2026 5:00pm,FIXED,4/03/2026,UPCOMING,84,Minimum data closes 4 March 2026; questions due 25 March 2026,No,"Total $61M available, $0 - $5M per grant",0,"5,000,000",AUD,"0 - 5,000,000",HIGH,Clear range specified; grants within 7 years,Not specified,MRFF Eligible Organisations only,"Clinical trial quality, alignment with stream objectives, feasibility",High - requires detailed trial protocol and stream-specific requirements,https://www.grants.gov.au/Go/Show?GoUuid=328e663e-0b64-442a-84dd-574039f451dd,High
MRFF – Clinical Trials Activity Initiative – 2025 International Clinical Trial Collaborations Grant Opportunity,National Health and Medical Research Council (NHMRC) / Department of Health Disability and Ageing,Support Australian involvement in international collaborative investigator-initiated clinical trials and establishment of clinical trial sites in Australia,Round 2: Minimum data due 10 December 2025,MULTIPLE,10/12/2025,EXPIRED,0,Round 1: 2 July 2025; Round 2: 10 December 2025; today is deadline,Yes,"Total $13M available, $0 - $3M per grant",0,"3,000,000",AUD,"0 - 3,000,000",HIGH,Clear range specified; grants within 7 years,Not specified,MRFF Eligible Organisations only,"Clinical trial quality, international collaboration, translation to Australian practice",High - requires detailed trial protocol and international partnerships,https://www.grants.gov.au/Go/Show?GoUuid=23d0627d-31fc-4594-bc4a-8d16600a2865,High
MRFF Frontier Health & Medical Research,"National Health and Medical Research Council (NHMRC), Australia","Support innovative, high-risk/high-reward medical research",31-Mar-26,SPECIFIC,31/03/2026,UPCOMING,112,Standard deadline,No,"Current round up to ~$190M available, grants typically $1-5M+ for up to 3 years","5,000,000","190,000,000",AUD,"190,000,000",MEDIUM,"Up to amount; Range: 5,000,000 - 190,000,000",No co-funding required,Australian organisations,Highly competitive excellence-based review,High,https://www.nhmrc.gov.au/,Complex
MRFF 2025 Research Data Infrastructure,"National Health and Medical Research Council (NHMRC), Australia","Build/extend national research data infrastructure for novel health research, focusing on using diverse data (genomics, EHR, registries) to address unmet medical needs",11-Dec-25,SPECIFIC,11/12/2025,URGENT,2,Standard deadline,Yes,"Up to $2.5M per grant from total pool ~$20M, projects up to 4 years","2,500,000","20,000,000",AUD,"20,000,000",MEDIUM,"Up to amount; Range: 2,500,000 - 20,000,000",No mandatory co-funding (up to 100% funding available),"Australian MRFF-eligible organisations (universities, research institutes, Australian companies, State/Territory agencies) with ABN; international collaboration allowed with Australian PI","Peer-reviewed scientific criteria (innovation, impact, feasibility) per guidelines",Moderate - detailed research proposal and budget required,https://www.nhmrc.gov.au/,Moderate
NHMRC Centres of Research Excellence (CRE) 2025,"National Health and Medical Research Council (NHMRC), Australia",Collaborative research teams in health priority areas,Various streams throughout 2025,MULTIPLE,,ONGOING,,Multiple deadlines throughout year,Yes,"$3,000,000 per centre for 5 years","300,000","300,000",AUD,"300,000",HIGH,Multi-year total,Host institution support required,Multi-institutional collaboration required,Research excellence and collaborative potential,Complex - multi-institutional collaboration required,https://www.nhmrc.gov.au/,Complex
NHMRC Ideas Grants,"National Health and Medical Research Council (NHMRC), Australia",Innovative research addressing specific research questions,Various dates throughout 2025,MULTIPLE,,ONGOING,,Multiple deadlines throughout year,Yes,Up to $1.5 million for 1-5 years,"1,500,000","1,500,000",AUD,"1,500,000",HIGH,Up to amount,Host institution support,Australian health and medical researchers,Innovation and research excellence through peer review,Complex - peer review process,https://www.nhmrc.gov.au/,Complex
NHMRC Partnership Projects,"National Health and Medical Research Council (NHMRC), Australia",Collaborative research between researchers and policy makers,"26 November 2025, 5:00pm",SPECIFIC,26/11/2025,PAST,,Specific time deadline,Yes,"Up to $500,000 per year for up to 5 years","500,000","500,000",AUD,"500,000",HIGH,Up to amount; Per annum amount,Partner organization contribution required,Must include research and policy/industry partners,"Partnership quality, research impact, translation potential",Complex - requires partnership agreements and joint planning,https://www.nhmrc.gov.au/funding/find-funding,Complex
NHMRC Investigator Grants 2026 (GO7711),"National Health and Medical Research Council (NHMRC), Australia",Provides consolidated funding to support outstanding researchers across all career stages,Minimum data: 2 July 2025; Full application: 30 July 2025,SPECIFIC,2025-07-02 to 2025-07-30,PAST,,Multi-stage application,Yes,"Typically $200,000-$1,500,000 annually over 5 years (Total pool: $420,000,000)","150,000","420,000,000",AUD,"420,000,000",MEDIUM,"Range: 150,000 - 420,000,000; Per annum amount; Multi-year total",None required,NHMRC-approved Administering Institutions; eligibility via NHMRC Web Tool,"Track record relative to opportunity, research program quality, leadership potential",Complex,https://www.nhmrc.gov.au/funding/find-funding/investigator-grants,Complex
NHMRC Global Alliance for Chronic Diseases (GACD) 2025,"National Health and Medical Research Council (NHMRC), Australia",Supports implementation research for health systems strengthening and NCD burden reduction in LMICs and underserved populations,Stage 1: GACD Portal (TBC); Stage 2: NHMRC Sapphire (expected October 2025),TBA,,TBA,,Standard deadline,Yes,"Up to $5,000,000 AUD","500,000","500,000",AUD,"500,000",HIGH,Up to amount,As per GACD consortium requirements,NHMRC-approved Administering Institutions; part of GACD-compliant international consortium,"Health disparities focus, systems strengthening, international collaboration",Very Complex (two-stage process involving GACD and NHMRC),https://www.nhmrc.gov.au/funding/find-funding/global-alliance-chronic-diseases-strengthening-health-systems-funding-call-2025,Complex
NHMRC TCR: Aboriginal and Torres Strait Islander Health - Addressing Violence (GO7732),"National Health and Medical Research Council (NHMRC), Australia","Funds Indigenous-led, multidisciplinary research to address violence and improve health outcomes for Aboriginal and Torres Strait Islander communities",Minimum data: 6 August 2025; Full application: 20 August 2025,SPECIFIC,2025-08-06 to 2025-08-20,PAST,,Multi-stage application,Yes,"Total available: $5,000,000 AUD","500,000","500,000",AUD,"500,000",HIGH,Standard amount,Not specified,NHMRC-approved Administering Institutions; Indigenous leadership and community partnership required,"Community-led governance, ethical responsiveness, capacity building",Complex,https://www.nhmrc.gov.au/funding/find-funding/targeted-call-research-aboriginal-and-torres-strait-islander-health-addressing-violence-safer-families-and-communities,Complex
NHMRC Clinical Trials and Cohort Studies Grants (2025),"National Health and Medical Research Council (NHMRC), Australia",Supports high-quality clinical trials and longitudinal cohort studies addressing critical knowledge gaps,Minimum data: 8 October 2025; Full application: 5 November 2025,SPECIFIC,2025-10-08 to 2025-11-05,PAST,,Multi-stage application,Yes,"$500,000-$5,000,000 AUD depending on study design and scope","500,000","500,000",AUD,"500,000",HIGH,Standard amount,Not specified,Researchers affiliated with NHMRC-approved Administering Institutions,"Scientific merit, feasibility, trial design quality, potential health impact",Complex,https://www.nhmrc.gov.au/funding/find-funding/clinical-trials-and-cohort-studies-grants,Complex
"MRFF 2025 Dementia, Ageing & Aged Care","National Health and Medical Research Council (NHMRC), Australia","Fund research into dementia, ageing, aged care to improve prevention, care models and outcomes for older Australians",20-Aug-25,SPECIFIC,20/08/2025,PAST,,Standard deadline,Yes,"Likely ~$20M pool, project size ~100k-2M+ similar to other MRFF programs","100,000","20,000,000",AUD,"20,000,000",MEDIUM,"Range: 100,000 - 20,000,000",No mandatory co-funding,Australian institutions,Aligned to MRFF goals,Moderate,https://www.nhmrc.gov.au/,Moderate
MRFF 2025 Maternal Health & Healthy Lifestyles,"National Health and Medical Research Council (NHMRC), Australia","Fund preventive/public-health research to improve perinatal mental health, early child development, and promote healthy lifestyles (prevention of chronic disease)",3 December 2025 (minimum data due 19 November),SPECIFIC,3/12/2025,PAST,,Multi-stage application,Yes,"Total ~$30M pool, individual grants likely several $100k+ over 2-3 years, covers up to 100% of costs","100,000","30,000,000",AUD,"30,000,000",MEDIUM,"Up to amount; Range: 100,000 - 30,000,000",No required co-funding,"Australian-administering institutions (NHMRC Admin Institutions) - universities, medical research institutes, health agencies","Relevance to goals, scientific quality, investigator capability (peer-reviewed panels)",Complex - full NHMRC-style grant application,https://www.nhmrc.gov.au/,Complex
MRFF 2025 Stem Cell Therapies,"National Health and Medical Research Council (NHMRC), Australia",Fund stem-cell based therapeutic research to treat disease,20-Aug-25,SPECIFIC,20/08/2025,PAST,,Standard deadline,Yes,"~$5M+ pool, projects ~100k-2M","100,000","5,000,000",AUD,"5,000,000",MEDIUM,"Range: 100,000 - 5,000,000",No mandatory co-funding,Australian institutions,NHMRC peer review standards,Moderate,https://www.nhmrc.gov.au/,Moderate
MRFF 2025 TTRA -- Cardiovascular Disease & Diabetes Models of Care,"National Health and Medical Research Council (NHMRC), Australia","Fund large, co-designed projects to develop technology-enabled, patient-centred models of care for people with CVD and/or diabetes",5 November 2025 (minimum data due 8 October),SPECIFIC,5/11/2025,PAST,,Multi-stage application,Yes,"Up to $20M total available, grants likely ~$1-3M+ for 3-year projects, up to 100% costs","3,000,000","20,000,000",AUD,"20,000,000",MEDIUM,"Up to amount; Range: 3,000,000 - 20,000,000",No mandatory co-funding,"Australian health/medical research organisations (universities, hospitals, agencies) as Admin Institutions","Focus on innovation, impact on care delivery, consumer co-design",High - detailed large-scale trial/protocol required,https://www.nhmrc.gov.au/,Complex
MRFF 2025 TTRA -- Cardiovascular Disease & Diabetes Risk Prediction and Data Solutions,"National Health and Medical Research Council (NHMRC), Australia",Support small-scale studies to identify predictive biomarkers/markers of CVD/diabetes complications and multidisciplinary projects using novel data integration (AI/ML) to improve prevention/treatment,5 November 2025 (minimum data due 8 October),SPECIFIC,5/11/2025,PAST,,Multi-stage application,Yes,"Up to $17M total, grants likely up to ~$0.5-2M each for 3-year projects, full funding available","2,000,000","17,000,000",AUD,"17,000,000",MEDIUM,"Up to amount; Range: 2,000,000 - 17,000,000",No mandatory co-funding,Australian research organisations,"Scientific merit, innovation, data strategy",High - detailed research proposal required,https://www.nhmrc.gov.au/,Complex
MRFF Early- and Mid-Career Researchers Initiative 2025,"National Health and Medical Research Council (NHMRC), Australia","Fund health and medical research projects led by early-career and mid-career researchers under the Medical Research Future Fund, focusing on critical health challenges and priority populations",23 July 2025 (with 25 June 2025 minimum data deadline),SPECIFIC,2025-06-25 to 2025-07-23,PAST,,Multi-stage application,Yes,"Multiple grants across streams, typically $250k-$500k+ per year (total grants pool several million per project for Stream 2)","250,000","500,000",AUD,"500,000",MEDIUM,"Range: 250,000 - 500,000; Tiered/multi-stream funding; Per annum amount",No compulsory co-funding (administered by NHMRC) but in-kind support encouraged,Australian-based researchers employed by NHMRC-approved institutions. Stream 1: early-career (≤10 years post-PhD); Stream 2: mid-career (10-15 years post-PhD),"NHMRC peer review panels evaluate innovation, feasibility, team capability and potential health impact for priority populations. Alignment with MRFF priorities critical","Very high - extensive proposal (6-12 pages) and data management plan, requires strong track record and institutional support",https://www.nhmrc.gov.au/,Very Complex
NHMRC-Horizon Europe Grant Scheme 2025,"National Health and Medical Research Council (NHMRC), Australia",Supports Australian researchers participating in international collaborative health research under Horizon Europe,EU application: 16 September 2025; NHMRC invitation follows successful EU application,SPECIFIC,16/09/2025,PAST,,Standard deadline,Yes,"$100,000-$500,000 AUD over 5 years (Australian component only)","100,000","500,000",AUD,"500,000",MEDIUM,"Range: 100,000 - 500,000; Multi-year total",As per EU consortium requirements,Australian researchers on eligible Horizon Europe applications deemed fundable by European Commission; NHMRC-approved Administering Institutions,"Alignment with NHMRC health priorities, international engagement strategy",Very Complex (requires successful EU application first),https://www.nhmrc.gov.au/funding/find-funding/nhmrc-eu-collaborative-research-grant-scheme-2025,Complex
MBIE Endeavour Fund,"New Zealand Ministry of Business, Innovation and Employment (MBIE)","Fund high-quality, high-impact research that addresses national challenges and contributes to New Zealand's economic growth and societal well-being","Annual, typically June/July",ANNUAL,,ONGOING,,Annual application cycle,No,NZD $1M - $5M per annum for 3-5 years,"1,000,000","5,000,000",NZD,"4,550,000",MEDIUM,"Range: 1,000,000 - 5,000,000; Per annum amount","Not explicitly stated, but collaboration with end-users/stakeholders is highly valued","New Zealand research organizations, universities, and Crown Research Institutes","Scientific excellence, impact, strategic alignment with national priorities, and capability",Very Complex - rigorous peer review process requiring national significance,https://www.mbie.govt.nz/science-and-technology/science-and-innovation/funding-for-science-and-innovation/endeavour-fund/,Complex
NZ Ministry of Education - Education Research Fund,New Zealand Ministry of Education,"Support research that directly informs education policy and practice in New Zealand, aiming to improve educational outcomes","Annual, typically October/November",ANNUAL,,ONGOING,,Annual application cycle,No,"NZD $10,000 - $100,000 for 1 year","10,000","100,000",NZD,"91,000",MEDIUM,"Range: 10,000 - 100,000; Multi-year total",Not explicitly stated,"New Zealand researchers, universities, and education providers","Relevance to education policy, research quality, and potential for impact on practice",Moderate - requires clear methodologies and policy relevance,https://www.education.govt.nz/our-work/information-and-data/education-research-fund/,Moderate
NZ Ministry of Social Development - Community Innovation Fund,New Zealand Ministry of Social Development,"Support innovative community-led solutions to social issues, including those related to education and health","Specific calls, various dates",MULTIPLE,,ONGOING,,Multiple deadlines throughout year,No,"NZD $10,000 - $200,000 for 1-2 years","10,000","200,000",NZD,"182,000",MEDIUM,"Range: 10,000 - 200,000","Not explicitly stated, but community support and in-kind contributions are highly valued","New Zealand community groups, non-profit organizations, and social enterprises","Community need, innovation, feasibility, and potential for social impact",Simple to Moderate - focuses on community engagement and social impact,https://www.msd.govt.nz/about-us/our-work/community-innovation-fund/,Moderate
TEC Centres of Asia-Pacific Excellence (CAPEs),New Zealand Tertiary Education Commission (TEC),"Enhance New Zealand's engagement with the Asia-Pacific region by building capability in education, research, business, and cultural understanding","Specific calls, various dates",MULTIPLE,,ONGOING,,Multiple deadlines throughout year,No,"Significant, multi-year funding (NZD $1M - $5M per annum for 4 years)","1,000,000","5,000,000",NZD,"4,550,000",MEDIUM,"Range: 1,000,000 - 5,000,000; Per annum amount; Multi-year total","Expected, often in-kind contributions from tertiary institutions","New Zealand tertiary education institutions, often in consortiums","Strategic alignment with national foreign policy, demonstrable collaborative proposals, and clear plan for building long-term capability",Complex - requires strong strategic alignment with national foreign policy goals,https://www.tec.govt.nz/funding/funding-and-performance/investment/capes/,Complex
MRFF 2025 International Clinical Trial Collaborations (GO7555),NHMRC on behalf of the Department of Health and Aged Care,Supports international collaborative investigator-initiated clinical trials,Round 1: 30 July 2025; Round 2: 4 February 2026,SPECIFIC,2025-07-30 to 2026-02-04,PAST,,Round 1,No,"Up to $3,000,000 per project (Total pool: $13,000,000)","130,000","300,000",AUD,"300,000",MEDIUM,"Up to amount; Range: 130,000 - 300,000",Not specified,MRFF Eligible Organisations,"Clinical trials activity initiative criteria, evidence generation, global trial participation",Complex,https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar,Complex
MRFF 2025 Stem Cell Therapies (GO7561),NHMRC on behalf of the Department of Health and Aged Care,Supports early-stage clinical trials and research into stem cell therapeutic applications,Minimum data: 23 July 2025; Full application: 20 August 2025,SPECIFIC,2025-07-23 to 2025-08-20,PAST,,Multi-stage application,Yes,"Up to $5,000,000 per project (Total pool: $31,500,000)","315,000","500,000",AUD,"500,000",MEDIUM,"Up to amount; Range: 315,000 - 500,000",Not specified,Approved MRFF Eligible Organisations,"Translational research potential, Phase I/IIa trials, ethical frameworks, health economics",Complex,https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar,Complex
"MRFF 2025 Dementia, Ageing and Aged Care (GO7589)",NHMRC on behalf of the Department of Health and Aged Care,"Funds research addressing aged care and dementia challenges, with focus on improving care quality and equity",Minimum data: 23 July 2025; Full application: 20 August 2025,SPECIFIC,2025-07-23 to 2025-08-20,PAST,,Multi-stage application,Yes,"Up to $5,000,000 per project (Total pool: $24,300,000)","243,000","500,000",AUD,"500,000",MEDIUM,"Up to amount; Range: 243,000 - 500,000",Not specified,Approved MRFF Eligible Organisations,"Implementation research, aged care services improvement, equity focus for Indigenous and CALD populations",Complex,https://www.health.gov.au/our-work/mrff-dementia-ageing-and-aged-care-mission,Complex
MRFF 2025 Cardiovascular Health (GO7554),NHMRC on behalf of the Department of Health and Aged Care,Funds transformative research and interventions to improve cardiovascular health and stroke management,Minimum data: 16 July 2025; Full application: 13 August 2025,SPECIFIC,2025-07-16 to 2025-08-13,PAST,,Multi-stage application,Yes,"Up to $5,000,000 per project (Total pool: $24,000,000)","240,000","500,000",AUD,"500,000",MEDIUM,"Up to amount; Range: 240,000 - 500,000",Not specified,Approved MRFF Eligible Organisations,"Population health impact, innovation, clinical relevance",Complex,https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar,Complex
MRFF 2025 TTRA Cardiovascular Disease and Diabetes - Models of Care (GO7744),NHMRC on behalf of the Department of Health and Aged Care,"Funds large-scale projects to develop technology-enabled, patient-centred models of care for cardiovascular disease and/or diabetes",Minimum data: 8 October 2025; Full application: 5 November 2025,SPECIFIC,2025-10-08 to 2025-11-05,PAST,,Multi-stage application,Yes,"Up to $2,500,000 per project (Total pool: $20,000,000)","200,000","250,000",AUD,"250,000",MEDIUM,"Up to amount; Range: 200,000 - 250,000",Not specified,Approved MRFF Eligible Organisations,"Innovation in care models, healthcare delivery enhancement, equitable outcomes",Complex,https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar,Complex
MRFF 2025 TTRA Cardiovascular Disease and Diabetes - Risk Prediction and Data Solutions (GO7743),NHMRC on behalf of the Department of Health and Aged Care,Funds projects that develop AI-powered risk prediction tools and data-driven solutions for cardiovascular disease and diabetes,Minimum data: 8 October 2025; Full application: 5 November 2025,SPECIFIC,2025-10-08 to 2025-11-05,PAST,,Multi-stage application,Yes,"Up to $2,500,000 per project (Total pool: $17,000,000)","170,000","250,000",AUD,"250,000",MEDIUM,"Up to amount; Range: 170,000 - 250,000",Not specified,Approved MRFF Eligible Organisations,"Translation potential, clinical impact, data innovation, partnership strength",Complex,https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar,Complex
nib foundation Programs,nib foundation,"Chronic disease prevention, health equity for underserved populations",2025 funding fully allocated,CLOSED,,CLOSED,,Standard deadline,Yes,Up to $2 million annually,"2,000,000","2,000,000",AUD,"2,000,000",HIGH,Up to amount; Per annum amount,Not specified,"Focus on First Nations peoples, people with disability, regional/remote communities",Health equity impact and chronic disease prevention focus,Moderate - requires clear health equity focus,https://www.nibfoundation.com.au/,Moderate
Northern Queensland PHN Digital Capability Grants,Northern Queensland Primary Health Network,Enhance digital health capability for allied health organisations,21 March - 13 April 2025,SPECIFIC,13/04/2025,PAST,,Standard deadline,Yes,"Up to $10,000 (GST exc) per organisation","10,000","10,000",AUD,"10,000",HIGH,Up to amount,Not specified,Allied health providers in MMM 5-7 regions delivering multidisciplinary care,Digital health capability enhancement and multidisciplinary care focus,Simple - online application portal,https://www.nqphn.com.au/,
ACI Research Grant Scheme 2024-25,NSW Agency for Clinical Innovation,Support innovative healthcare projects aligned with ACI priorities,Closed for 2024-25,CLOSED,,CLOSED,,Standard deadline,Yes,"Up to $30,000 including GST","30,000","30,000",AUD,"30,000",HIGH,Up to amount,Host institution support,"NSW health researchers, focus on completed TRGS projects","Innovation potential, implementation feasibility",Simple - focused on specific project types,https://aci.health.nsw.gov.au/support-for-innovation/research/grant-scheme,
NSW Tech Central R&D Hub Grants,"NSW Department of Enterprise, Investment and Trade","Foster R&D collaboration and innovation within the designated NSW Tech Central precinct, focusing on technology and innovation","Specific calls, various dates",MULTIPLE,,ONGOING,,Multiple deadlines throughout year,No,"AUD $50,000 - $500,000 for 1-2 years","50,000","500,000",AUD,"500,000",MEDIUM,"Range: 50,000 - 500,000","Expected, often matched funding","Businesses, research organizations, and startups located within or collaborating with entities in the NSW Tech Central precinct","Alignment with Tech Central objectives, innovation, collaboration, and economic impact within NSW",Moderate - requires alignment with precinct's strategic goals,https://www.investment.nsw.gov.au/opportunities/tech-central/,Moderate
NSW Medical Devices Fund 2025,"NSW Government - Office for Health and Medical Research (OHMR), NSW Health",Supports development and commercialisation of innovative medical devices and related technologies,Closed for 2025 (Round 13); expected reopening early 2026,CLOSED,,CLOSED,,Round 13,No,"$500,000 to $5,000,000 AUD per project (excluding GST)","500,000","500,000",AUD,"500,000",HIGH,Standard amount,Substantial co-investment required; financial viability demonstration needed,Companies headquartered in NSW; annual turnover <$25M; projects at TRL 3+,"Expert panel assessment on commercialisation potential, clinical impact, innovation",Complex,https://www.medicalresearch.nsw.gov.au/medical-devices-fund/,Complex
NSW Elite Researcher Grants 2025,NSW Health Office of Health and Medical Research,Attract elite researchers from overseas to NSW,"2 March 2026, 5:00pm AEST (Intentions due 1 December 2025)",SPECIFIC,2025-12-01 to 2026-03-02,PAST,,Specific time deadline,Yes,"Up to $750,000 per grant (4 grants available)","750,000","750,000",AUD,"750,000",HIGH,Up to amount,Minimum 50% matched funding required,"Researchers currently overseas, willing to relocate to NSW","Research excellence, strategic importance, host organization support",Complex - requires international recruitment and relocation planning,https://www.medicalresearch.nsw.gov.au/elite-researcher-grants/,Complex
NSW Health Workforce Development Programs,NSW Health/Health Education and Training Institute (HETI),Multiple streams for health workforce development,Allied Health Workplace Learning Grants: 4 Aug - 29 Aug 2025; Other streams ongoing,ROLLING,,ONGOING,,Applications accepted continuously,Yes,"$1,000-$15,000 depending on stream (Nursing & Midwifery Clinical Placement Grants: $1,000; Rural Support Incentives: $1,000)","1,000","15,000",AUD,"15,000",MEDIUM,"Range: 1,000 - 15,000; Tiered/multi-stream funding",Varies by stream,NSW health professionals in public health facilities,Professional development potential and health service alignment,Simple to Moderate depending on stream,https://www.heti.nsw.gov.au/,Moderate
NSW End of Life and Palliative Care Research Grant Program,NSW Ministry of Health,Research to improve end of life and palliative care services,"23 March 2025, 5:00pm (CLOSED)",CLOSED,23/03/2025,CLOSED,,Specific time deadline,Yes,"Up to $600,000 over 3 years","600,000","600,000",AUD,"600,000",HIGH,Up to amount; Multi-year total,Not specified,"NSW health agencies, research institutes, NGOs","Policy relevance, translation potential, collaborative approach",Moderate - specific to palliative care research,https://www.nsw.gov.au/grants-and-funding/end-of-life-and-palliative-care-research-grant-program,Moderate
Open Philanthropy,Open Philanthropy,"Reduce global catastrophic risks, particularly from advanced AI and biosecurity threats, and promote effective altruism",Rolling basis for most programs,ROLLING,,ONGOING,,Applications accepted continuously,No,"Typically $200,000 - $2 million per year for 1-2 years for organizations; smaller amounts for individuals","200,000","2,000,000",AUD,"2,000,000",MEDIUM,"Range: 200,000 - 2,000,000; Per annum amount",Varies by program,"Anyone eligible (academia, non-profit, industry, independent researchers) from any country","Relevance to global catastrophic risk reduction, innovation, and potential impact",Moderate to Complex - requires strong alignment with global catastrophic risk priorities,https://www.openphilanthropy.org/,Complex
Pfizer Australia Emerging Sciences Fund,Pfizer Australia,Support early breakthrough science and research collaboration,Ongoing - contact Pfizer directly,ROLLING,,ONGOING,,Applications accepted continuously,No,"Variable - typically $50,000-$200,000",,,UNKNOWN,,VARIABLE,Variable or unspecified amount,Collaborative partnership required,"Australian research institutions, innovative science focus","Scientific innovation, collaboration potential, patient benefit",Moderate - requires partnership development,https://www.pfizer.com.au/our-science/supporting-australian-scientists,Moderate
Queensland Health and Wellbeing Community Grants 2025,Queensland Government - Health and Wellbeing Queensland (HWQld),Supports community-led initiatives promoting health and wellbeing across Queensland,Opens: 1 July 2025; Closes: 29 July 2025,SPECIFIC,2025-07-01 to 2025-07-29,PAST,,Standard deadline,Yes,"$5,000 to $20,000 AUD per project (Total pool: $400,000)","5,000","400,000",AUD,"400,000",MEDIUM,"Range: 5,000 - 400,000",Not specified,"Queensland-based not-for-profit/charitable organisations, incorporated associations, Indigenous Corporations, local government, schools","Community connectedness, health service access, alignment with Queensland Children's Wellbeing Framework",Simple to Moderate,https://hw.qld.gov.au/grants/2025-health-and-wellbeing-community-grants/,Moderate
Ramsay Hospital Research Foundation - Social Determinants of Health Innovation Grant,Ramsay Hospital Research Foundation,"Address social determinants affecting women, regional/rural populations, and people over 60",To be announced,TBA,,TBA,,Standard deadline,No,"Up to $700,000 for up to 3 years","700,000","700,000",AUD,"700,000",HIGH,Up to amount,Ethics approval required,Australian researchers focusing on social determinants of health,Social determinants focus and population health impact,Complex - requires detailed research proposal and ethics approval,https://www.ramsayhealth.com/,Complex
RACGP Education Research Grants 2026,Royal Australian College of General Practitioners (RACGP),"Fund research on general practice training and education including workforce development, supervision models, digital skills in GP training, Aboriginal and rural medical education, and innovation in GP teaching",8 August 2025 (11:59pm AEST) for invited full applications,SPECIFIC,8/08/2025,PAST,,Specific time deadline,Yes,"Up to 8 grants of up to AUD $150,000 (ex. GST) each for 12-month projects","150,000","150,000",AUD,"150,000",HIGH,Up to amount,No specific co-funding required (RACGP provides full grant),Lead applicants must be General Practitioners (with FRACGP) or training organizations; research teams must include practicing GPs and experienced education researchers. Projects must be Australian-focused,"Competitive peer review scoring proposals on academic rigor, relevance to GP education, and potential outcomes with emphasis on practical impact for GP training","High - two-stage process with EOI and full application, requires alignment with RACGP research priorities",https://www.racgp.org.au/,Complex
Hospital Research Foundation Group - Research Innovation and Impact Grants,RPH Research Foundation (co-funded by FHRI Fund),Support innovative research projects with translation potential,Varies by program,MULTIPLE,,ONGOING,,Multiple deadlines throughout year,No,Up to $1.2 million over 3 years,"1,200,000","1,200,000",AUD,"1,200,000",HIGH,Up to amount; Multi-year total,Co-funding from FHRI Fund,Mid-career and senior researchers in WA,"Innovation, translation potential, strategic importance",Complex - requires detailed innovation plan,https://www.rphresearchfoundation.org.au/riig,Complex
Social Impact Fellowship,Social Impact Hub,12-week professional development program for impact-focused individuals,Applications close: August 2025; Program starts: 27 August 2025,SPECIFIC,27/08/2025,PAST,,Standard deadline,Yes,"Program fee: $3,295 (+GST); Partial scholarships available; Full scholarships for people with disability","3,295","3,295",AUD,"3,295",HIGH,Standard amount,Program fee required (scholarships available),Open to all individuals wanting to embed/deepen impact; No specific sector requirements; 2.5+ hours/week commitment,Impact motivation; Career goals alignment; Commitment to program,Low to Medium - application and interview,https://www.socialimpacthub.org/initiative/social-impact-fellowship,Moderate
SALHN Enquiry Grant Scheme 2025,Southern Adelaide Local Health Network,Support research and innovation projects by SALHN staff,"8 August 2025, 5:00pm",SPECIFIC,8/08/2025,PAST,,Specific time deadline,Yes,Variable amounts supported by Hospital Research Foundation Group,,,UNKNOWN,,VARIABLE,Variable or unspecified amount,SALHN organizational support,SALHN staff members,"Benefit to patients, alignment with research strategy",Simple to Moderate - internal staff grants,https://www.sahealth.sa.gov.au/,Moderate
Tasmania General Practice Sustainability and Viability Initiative,Tasmanian Department of Health,Support general practice sustainability and innovation,Ongoing (Round 1 completed),ROLLING,,ONGOING,,Round 1; Applications accepted continuously,No,"Up to $250,000 per year (single year) or up to $500,000 (multi-year)","250,000","500,000",AUD,"500,000",MEDIUM,"Up to amount; Range: 250,000 - 500,000; Per annum amount",Practice contribution expected,RACGP accredited practices in rural/regional Tasmania,"Community benefit, sustainability, innovation",Moderate - requires demonstration of need and impact,https://www.premier.tas.gov.au/,Moderate
Healthy Tasmania Fund 2025,Tasmanian Department of Health,Support community-led preventative health projects,Applications closed for 2024-25,CLOSED,,CLOSED,,Standard deadline,Yes,"$20,000-$100,000 per grant","20,000","100,000",AUD,"100,000",MEDIUM,"Range: 20,000 - 100,000",Organization/community support,Tasmanian community organizations and local councils,"Health promotion, community engagement, preventive focus",Simple to Moderate - community health focus,https://healthytas.smartygrants.com.au,Moderate
